Index,Index in initial List,CWNS_No,Total Flow,City,County,State,Has CHP,Electricity Utility,Gas Utility,Electric URL,Gas URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,,,,,,,,,,,,,,,,,,,,,URL
42,13505,6004009003,83.6,Whittier,Los Angeles,CA,No,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_GS-2.pdf,https://www.socalgas.com/pay-bill/understanding-your-bill/natural-gas-prices-explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,546,34001030001,85,Elizabeth,Union,NJ,Yes,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/2DC2339E928A4DD08F4F10629F484DA4.ashx,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/D1C183F23D1B4603A10CD633881AF06B.ashx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7168,39008260001,85,Toledo,Lucas,OH,Yes,Ohio Edison,Columbia Gas,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/Ohio/tariffs/OE-2021-Electric-Service.pdf,https://www.columbiagasohio.com/docs/librariesprovider5/rates-and-tariffs/ohio-tariff.pdf?sfvrsn=115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1158,36008024001,86.72,Rochester,Monroe,NY,No,National Grid,National Grid,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,https://www.nationalgridus.com/Upstate-NY-Business/Supply-Costs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,752,36002001010,87.09,Brooklyn,Kings,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3495,13000012004,87.52,Atlanta,Fulton,GA,Yes,Georgia power,Georgia natural gas,"https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-HLF-10.pdf, https://www.georgiapower.com/business/billing-and-rates/business-rates.html",https://gng.com/shop-for-service/georgia-natural-gas-rates-plans.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,13789,6008022001,88,Fountain Valley,Orange,CA,Yes,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_GS-2.pdf,https://www.socalgas.com/pay-bill/understanding-your-bill/natural-gas-prices-explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,13901,32000200820,89,Las Vegas,Clark,NV,No,NV energy,Southwest Gas,https://www.nvenergy.com/publish/content/dam/nvenergy/brochures_arch/about-nvenergy/rates-regulatory/np_com_rate.pdf,https://www.swgas.com/7400000300173/21-0701--NV-Gas-Tariff-No.-7_Rev-No.-80.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4875,47000940002,90,Memphis,Shelby,TN,No,"Memphis Light, Gas, and Water (MLGW)","Memphis Light, Gas, and Water (MLGW)",https://www.mlgw.com/images/content/files/pdf_rates/GSA%20Jan21.pdf,http://www.mlgw.com/images/content/files/pdf_rates/G8-G9%20Jul18.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4890,47001016001,91.9,Nashville,Davidson,TN,Yes,Nashville Electric Service,PIEDMONT NATURAL GAS COMPANY,https://www.nespower.com/-/media/project/nes/common/pdfs/commercial-rates/2021/july/rateslgs2021jul.pdf,https://desitecoreprod-cd.azureedge.net/_/media/pdfs/png/tn-tariffandserviceregulations.pdf?la=en&rev=1025dc8779e64ac8a9eeee3d1ff307ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3148,12000017028,92,Miami,Miami-Dade,FL,No,Florida power and light,Florida City Gas,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://www.floridacitygas.com/fcgcommon/pdfs/FACT-SHEET-FCG-Rates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8459,22009071001,92.1,New Orleans,Orleans,LA,No,Entergy New Orleans,LLC,https://cdn.entergy-neworleans.com/userfiles/content/price/tariffs/eno/enol_elec_le.pdf?_ga=2.164800505.71098645.1625949504-1446053430.1625949504,https://cdn.entergy-neworleans.com/userfiles/content/price/tariffs/eno/enol_gas_lg.pdf?_ga=2.164800505.71098645.1625949504-1446053430.1625949504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,751,36002001009,93.09,Brooklyn,Kings,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1525,42000094003,94.8,Philadelphia,Philadelphia,PA,No,PECO,PECO,https://www.peco.com/SiteCollectionImages/rate%20GS%20june12021.pdf,https://www.pgworks.com/uploads/pdfs/PGW_Gas_Service_Tariff_Through_Supplement_144_-_Updated.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3147,12000017027,95,Miami,Miami-Dade,FL,Yes,Florida power and light,Florida City Gas,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://www.floridacitygas.com/fcgcommon/pdfs/FACT-SHEET-FCG-Rates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6775,39001792002,96,Lockbourne,Franklin,OH,No,Columbus Division of Power,Columbus Division of Power,file:///C:/Users/HP/Downloads/2021%20Electricity%20Rate%20Sheet.pdf,https://www.columbiagasohio.com/docs/librariesprovider5/rates-and-tariffs/ohio-tariff.pdf?sfvrsn=113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9528,48007039001,96,Houston,Harris,TX,No,Entergy Texas,Entergy Texas,https://cdn.entergy-texas.com/userfiles/content/price/tariffs/eti_lips-tod.pdf?_ga=2.227861721.596596015.1625874653-1972597703.1625874653,https://www.centerpointenergy.com/en-us/Documents/RatesandTariffs/HoustonGas/GSLV-626A-I.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,747,36002001005,96.09,Jamaica,Queens,NY,Yes,National Grid,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3838,21000025001,97.5,Louisville,Jefferson,KY,No,Louisville Gas and Electric,Louisville Gas and Electric,file:///C:/Users/HP/Downloads/LGE-Electric-Rates-040121.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14353,53000776002,110,Seattle,King,WA,Yes,Seattle City Light,Puget Sound Energy,http://www.seattle.gov/city-light/business-solutions/business-billing-and-account-information/business-rates#seattlebusinesses,https://www.pse.com/pages/rates/schedule-summaries#sort=%40documentdate%20descending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,11071,29001023001,111,St. Louis,St. Louis,MO,No,Ameren,Spire energy,https://www.ameren.com/-/media/rates/files/missouri/uecsheet61rate11mlps.pdf,https://www.spireenergy.com/sites/default/files/2020-12/SpireMOWestRateTariffsDecember32020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,11072,29001023002,114,St. Louis,St. Louis,MO,No,Ameren,Spire energy,https://www.ameren.com/-/media/rates/files/missouri/uecsheet61rate11mlps.pdf,https://www.spireenergy.com/sites/default/files/2020-12/SpireMOWestRateTariffsDecember32020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5437,18000061001,120,Indianapolis,Marion,IN,No,AES Indiana,Citizen Gas,https://www.aesindiana.com/sites/default/files/2021-05/Rate-PL-Primary-Service-Large-50409-Effective-04-07-21.pdf,https://www.citizensenergygroup.com/ratesriders/RateNo%20D5%20Large%20Volume%20-%20eff.%209-6-11.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,744,36002001002,122.12,Bronx,Bronx,NY,Yes,National Grid,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,9351,48004026001,123.704,Dallas,Dallas,TX,No,Oncor,Atmos Energy,https://www.vaultelectricity.com/Texas-electric-companies/TX-commercial-electricity-prices-rates-plans/Texas-commercial-electricity.html,https://www.atmosenergy.com/sites/default/files/mtx_aec_tariff_cee_effective_7_01_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3145,12000017004,127,Miami,Miami-Dade,FL,Yes,Florida power and light,Florida City Gas,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://www.floridacitygas.com/fcgcommon/pdfs/FACT-SHEET-FCG-Rates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,745,36002001003,129.11,Astoria,Queens,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6767,39001666001,131.09,Cleveland,Cuyahoga,OH,No,Cleveland Public Power,Dominion Energy,https://www.cpp.org/info/Pricing/Rate-Schedule,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/ohio/rates-tariffs/rates-lvgss.pdf?la=en&rev=df19f8469560481dbd8e1d27c9a271c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,9376,48004122001,138.9,Fort Worth,Tarrant,TX,Yes,Oncor,Atmos Energy,https://www.vaultelectricity.com/Texas-electric-companies/TX-commercial-electricity-prices-rates-plans/Texas-commercial-electricity.html,https://www.atmosenergy.com/sites/default/files/mtx_aec_tariff_cee_effective_7_01_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,13251,4001318001,140,Phoenix,Maricopa,AZ,Yes,Arizona Public Service Company,Southwest Gas,https://www.aps.com/en/Utility/Regulatory-and-Legal/Rates-Schedules-and-Adjustors#Business,https://www.swgas.com/7200000200650/21-0801--AZ-Gas-Tariff-No-7-Revision-No-370.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13409,6002041001,143.3,San Jose,Santa Clara,CA,Yes,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
